pesticide(ug/m2/d),panyu,baiyun,haizhu,huadu,huangpu,liwan,tianhe,yuexiu,total(kg/yr)
THM,116.2943272,116.2943272,116.2943272,116.2943272,116.2943272,116.2943272,116.2943272,116.2943272,3446.394904
CLO,15.78713798,15.78713798,15.78713798,15.78713798,15.78713798,15.78713798,15.78713798,15.78713798,467.8535332
IMI,741.8606927,741.8606927,741.8606927,741.8606927,741.8606927,741.8606927,741.8606927,741.8606927,21985.12148
ACE,529.977189,529.977189,529.977189,529.977189,529.977189,529.977189,529.977189,529.977189,15705.93104
THA,10.63598448,10.63598448,10.63598448,10.63598448,10.63598448,10.63598448,10.63598448,10.63598448,315.1985449
Propoxur,58.61393279,9.358649078,53.07693381,44.74512987,34.27246551,40.34983856,6.367536238,113.0538007,
Chlorpyrifos*,,,,,,,,,
Temephos*,,,,,,,,,
Fenthion,57.13025795,13.08219561,60.59035626,0,0,43.60093661,185.2311671,0,
Fipronil*,,,,,,,,,
Tetramethrin,34.61690211,5.416826998,92.58861469,7.413482311,10.09994072,44.20744793,3.202780839,322.4348351,
Cyhalothrin_Lambda*,0,27.16125453,0,10.14886997,0,9.05375151,0,0,
Cyfluthrin,0,13.59660013,42.88628668,18.70669141,0,18.82762894,171.5451467,0,
Permethrin,76.33654763,87.78785651,1025.833061,5.95277635,102.7460236,396.6524884,540.6181176,3383.631556,
Cypermethrin,42.43094827,47.06942355,86.47988555,54.49891877,100.410244,58.66008579,33.49764882,169.5807011,
area_5m,20165405.09,20942402.24,2663105.18,22545225.46,8137847.846,2064917.975,3697711.986,975459.9256,81192075.7
